Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend,Lower Band,Middle Band,Upper Band
2017-05-31,GMRINFRA,EQ,15.0,15.0,15.3,14.75,15.1,15.05,15.03,20483733,307813512.55,8847,7807318,38.11,0.33333333333334103,Slight or No change,,,
2017-06-01,GMRINFRA,EQ,15.05,15.25,15.25,14.6,15.0,14.95,14.9,6267102,93359698.3,4781,1287570,20.54,-0.6644518272425293,Slight negative,13.837033051059556,16.010714285714286,18.184395520369016
2017-06-02,GMRINFRA,EQ,14.95,15.05,19.05,14.95,16.8,16.9,17.46,318000100,5552426068.1,147752,56772035,17.85,13.043478260869556,Bear drop,13.907616049538818,15.964285714285714,18.020955379032607
2017-06-05,GMRINFRA,EQ,16.9,17.05,17.65,16.15,16.75,16.7,16.89,119450359,2017744750.25,70576,33645464,28.17,-1.1834319526627168,Negative,13.977425220747635,15.914285714285713,17.851146207823792
2017-06-06,GMRINFRA,EQ,16.7,16.75,16.9,16.1,16.25,16.2,16.36,31427653,514214749.7,20116,5305236,16.88,-2.9940119760479056,Negative,14.058322691517644,15.835714285714284,17.613105879910922
2017-06-07,GMRINFRA,EQ,16.2,16.3,17.05,16.3,16.6,16.65,16.72,54402871,909653434.6,22307,19736751,36.28,2.777777777777768,Positive,14.066267741429428,15.828571428571426,17.590875115713423
2017-06-08,GMRINFRA,EQ,16.65,16.7,16.8,16.5,16.55,16.6,16.62,22362868,371577135.6,7480,11750715,52.55,-0.30030030030028243,Slight or No change,14.10087479552847,15.803571428571427,17.50626806161438
2017-06-09,GMRINFRA,EQ,16.6,16.7,17.1,16.2,16.95,17.0,16.75,23436220,392595301.0,11431,6523037,27.83,2.409638554216853,Positive,14.076236702508051,15.81785714285714,17.559477583206228
2017-06-12,GMRINFRA,EQ,17.0,16.95,18.2,16.75,17.8,17.75,17.75,87581719,1554752749.05,45834,24855221,28.38,4.41176470588236,Among top gainers,13.924014959429515,15.949999999999998,17.975985040570478
2017-06-13,GMRINFRA,EQ,17.75,17.95,19.5,17.9,18.9,18.85,18.85,146441624,2759883004.4,64043,31048424,21.2,6.197183098591562,Among top gainers,13.87326845968456,16.257142857142853,18.641017254601145
2017-06-14,GMRINFRA,EQ,18.85,18.85,19.75,18.15,19.3,19.3,19.08,106021545,2023155124.55,47613,24966459,23.55,2.3872679045092715,Positive,13.75384879907013,16.549999999999997,19.346151200929864
2017-06-15,GMRINFRA,EQ,19.3,19.2,20.1,19.05,19.75,19.75,19.61,98657216,1934420498.55,48482,14930339,15.13,2.3316062176165664,Positive,13.574722717628614,16.82142857142857,20.068134425228525
2017-06-16,GMRINFRA,EQ,19.75,19.6,20.15,19.25,19.3,19.45,19.66,54266696,1066961331.8,27698,7333552,13.51,-1.51898734177216,Negative,13.846826739370211,17.153571428571425,20.46031611777264
2017-06-19,GMRINFRA,EQ,19.45,19.45,19.7,19.15,19.25,19.3,19.41,29545324,573547073.0,12926,4415210,14.94,-0.7712082262210762,Slight negative,14.21745415681061,17.460714285714282,20.703974414617953
2017-06-20,GMRINFRA,EQ,19.3,19.3,20.2,19.15,20.05,20.0,19.74,57331928,1131807044.1,30794,10339513,18.03,3.6269430051813374,Among top gainers,14.624294498616935,17.81428571428571,21.004276929954486
2017-06-21,GMRINFRA,EQ,20.0,20.1,21.65,19.85,21.3,21.35,20.92,132714510,2776634790.8,62360,25681786,19.35,6.750000000000012,Among top gainers,15.015968238691894,18.27142857142857,21.526888904165244
2017-06-22,GMRINFRA,EQ,21.35,21.4,22.05,20.4,20.75,20.8,21.41,78981450,1690971217.4,41215,17556700,22.23,-2.5761124121779893,Negative,15.136452330447444,18.55,21.963547669552558
2017-06-23,GMRINFRA,EQ,20.8,20.65,21.75,20.35,21.5,21.35,21.16,68100893,1440970584.8,37119,12682368,18.62,2.644230769230771,Positive,15.341476439458376,18.88214285714286,22.422809274827344
2017-06-27,GMRINFRA,EQ,21.35,21.6,22.0,18.3,19.25,19.25,20.18,81835389,1651368865.35,38302,21581943,26.37,-9.836065573770504,Bull run,15.912524509898159,19.1,22.287475490101844
2017-06-28,GMRINFRA,EQ,19.25,19.2,20.45,18.8,19.45,19.3,19.64,64165663,1260525287.35,32237,13692990,21.34,0.2597402597402709,Slight or No change,16.43078191753401,19.289285714285718,22.147789511037427
2017-06-29,GMRINFRA,EQ,19.3,19.65,19.8,18.7,18.9,19.0,19.12,119030605,2275961224.75,35004,40666595,34.16,-1.5544041450777255,Negative,17.043093531772495,19.46071428571429,21.878335039656083
2017-06-30,GMRINFRA,EQ,19.0,19.15,20.1,19.0,19.85,19.65,19.65,66433073,1305469265.9,30013,19287680,29.03,3.421052631578947,Among top gainers,17.69080079153203,19.650000000000002,21.609199208467974
2017-07-03,GMRINFRA,EQ,19.65,19.85,20.25,19.5,19.6,19.6,19.82,32453078,643088166.05,14848,10255472,31.6,-0.25445292620863696,Slight or No change,18.153265403728476,19.782142857142862,21.411020310557248
2017-07-04,GMRINFRA,EQ,19.6,19.0,19.75,18.3,18.5,18.55,18.82,58574540,1102523637.7,26352,19962080,34.08,-5.35714285714286,Among top losers,18.07221081931455,19.76071428571429,21.44921775211403
2017-07-05,GMRINFRA,EQ,18.55,18.65,19.15,18.45,18.95,18.9,18.77,50223748,942558992.75,24281,15301449,30.47,1.8867924528301658,Positive,17.99716019579871,19.732142857142858,21.467125518487006
2017-07-06,GMRINFRA,EQ,18.9,19.2,19.35,18.65,19.0,19.0,19.03,33223410,632230736.8,15080,5223497,15.72,0.5291005291005346,Slight positive,17.900190883626856,19.678571428571427,21.456951973516
2017-07-07,GMRINFRA,EQ,19.0,19.0,19.5,18.5,19.2,19.3,19.02,40301587,766407162.4,17143,9174946,22.77,1.5789473684210575,Positive,17.881753888516897,19.667857142857144,21.453960397197392
2017-07-10,GMRINFRA,EQ,19.3,19.3,21.2,18.85,18.95,19.0,19.06,10518942,200520564.1,5461,3539118,33.65,-1.5544041450777255,Negative,17.834305173645962,19.646428571428572,21.458551969211182
2017-07-11,GMRINFRA,EQ,19.0,19.2,19.3,18.3,18.35,18.45,18.77,26038665,488644020.15,17792,8360277,32.11,-2.8947368421052717,Negative,17.629679912213373,19.535714285714285,21.441748659215197
2017-07-12,GMRINFRA,EQ,18.45,18.5,18.85,17.65,18.05,18.05,18.12,79963225,1448840026.5,25527,37886323,47.38,-2.168021680216792,Negative,17.550714431546417,19.3,21.049285568453584
2017-07-13,GMRINFRA,EQ,18.05,18.2,18.35,17.8,17.95,17.95,18.02,32054650,577487264.55,13713,6986066,21.79,-0.5540166204986208,Slight negative,17.43813274289102,19.096428571428568,20.754724399966115
2017-07-14,GMRINFRA,EQ,17.95,18.1,18.65,17.8,18.15,18.0,18.07,75911494,1371595805.3,17582,32014990,42.17,0.278551532033422,Slight or No change,17.71235053949331,18.857142857142854,20.001935174792397
2017-07-17,GMRINFRA,EQ,18.0,18.35,18.55,17.95,18.0,18.05,18.16,28179488,511856154.55,13852,9199358,32.65,0.2777777777777768,Slight or No change,17.574821646883965,18.77142857142857,19.968035495973172
2017-07-18,GMRINFRA,EQ,18.05,17.95,18.2,17.6,17.65,17.7,17.88,16685431,298378064.55,10732,4734092,28.37,-1.939058171745156,Negative,17.375402968219557,18.65714285714285,19.938882746066145
2017-07-19,GMRINFRA,EQ,17.7,17.8,18.2,17.75,18.1,18.1,18.04,20267425,365641324.9,15674,5809255,28.66,2.2598870056497193,Positive,17.295014469650727,18.592857142857138,19.89069981606355
2017-07-20,GMRINFRA,EQ,18.1,18.2,18.2,17.75,17.85,17.8,17.93,13284154,238214717.25,10102,4909485,36.96,-1.6574585635359185,Negative,17.25293273935078,18.460714285714285,19.66849583207779
2017-07-21,GMRINFRA,EQ,17.8,17.4,18.15,17.2,18.0,18.0,17.72,51757767,917249150.85,34801,14118884,27.28,1.1235955056179805,Positive,17.312791017250824,18.346428571428568,19.380066125606312
2017-07-24,GMRINFRA,EQ,18.0,18.25,19.25,18.15,18.7,18.65,18.88,89231715,1684342075.05,36181,27245237,30.53,3.6111111111110974,Among top gainers,17.312518495819607,18.353571428571424,19.394624361323242
2017-07-25,GMRINFRA,EQ,18.65,18.85,18.95,18.25,18.75,18.8,18.66,40548306,756539928.1,16775,10815732,26.67,0.8042895442359255,Slight positive,17.32025998000612,18.346428571428568,19.372597162851015
2017-07-26,GMRINFRA,EQ,18.8,18.8,19.45,18.75,19.15,19.15,19.14,50394927,964675127.7,18509,17821767,35.36,1.8617021276595704,Positive,17.298946174205238,18.357142857142854,19.41533954008047
2017-07-27,GMRINFRA,EQ,19.15,19.4,19.7,18.95,19.35,19.3,19.31,64432555,1244279341.15,22135,24349688,37.79,0.783289817232391,Slight positive,17.298946174205238,18.357142857142854,19.41533954008047
2017-07-28,GMRINFRA,EQ,19.3,19.25,19.75,18.7,18.95,18.9,19.15,65564234,1255641404.1,23372,24016900,36.63,-2.0725388601036343,Negative,17.309290183059233,18.349999999999994,19.390709816940756
2017-07-31,GMRINFRA,EQ,18.9,19.1,19.15,18.5,18.75,18.8,18.84,20709764,390140648.5,9514,6482361,31.3,-0.5291005291005124,Slight negative,17.307472302647213,18.374999999999996,19.44252769735278
2017-08-01,GMRINFRA,EQ,18.8,18.95,19.05,18.6,18.7,18.7,18.85,20289231,382407622.5,6793,7035964,34.68,-0.5319148936170248,Slight negative,17.3582589375838,18.421428571428567,19.484598205273336
2017-08-02,GMRINFRA,EQ,18.7,18.85,18.95,18.2,18.45,18.5,18.53,23115311,428434256.9,9049,4495663,19.45,-1.0695187165775333,Negative,17.43251303975231,18.460714285714282,19.488915531676255
2017-08-03,GMRINFRA,EQ,18.5,18.55,18.55,17.75,17.95,17.9,18.21,28780056,524036929.95,10683,5435833,18.89,-3.2432432432432545,Among top losers,17.41030416012745,18.453571428571422,19.496838697015395
2017-08-04,GMRINFRA,EQ,17.9,17.95,18.05,17.55,17.65,17.65,17.77,24423845,433938581.45,21710,4827338,19.76,-1.3966480446927387,Negative,17.314386863727286,18.42499999999999,19.535613136272694
2017-08-07,GMRINFRA,EQ,17.65,17.85,18.75,17.75,18.55,18.55,18.32,25559596,468354500.2,34370,5455032,21.34,5.099150141643083,Among top gainers,17.455831117262974,18.485714285714277,19.51559745416558
2017-08-08,GMRINFRA,EQ,18.55,18.7,18.7,17.55,17.65,17.7,17.95,25226585,452862168.65,32801,4494587,17.82,-4.582210242587603,Among top losers,17.361096014476608,18.45714285714285,19.55318969980909
2017-08-09,GMRINFRA,EQ,17.7,17.55,17.6,16.65,16.8,16.95,17.15,30393631,521105363.15,20132,4463530,14.69,-4.23728813559322,Among top losers,17.07299231815322,18.39642857142856,19.719864824703905
2017-08-10,GMRINFRA,EQ,16.95,16.9,17.2,15.6,16.15,15.9,16.5,35718794,589215527.3,17236,8461354,23.69,-6.194690265486723,Among top losers,16.369252178866805,18.24642857142856,20.123604963990314
2017-08-11,GMRINFRA,EQ,15.9,15.5,16.2,15.1,15.6,15.5,15.59,33704072,525508085.5,21331,6492600,19.26,-2.515723270440251,Negative,15.659970649617653,18.021428571428558,20.382886493239464
2017-08-14,GMRINFRA,EQ,15.5,15.7,16.45,15.7,16.0,16.05,16.03,23289620,373248634.25,12028,4176593,17.93,3.548387096774208,Among top gainers,15.291304007064891,17.824999999999985,20.35869599293508
2017-08-16,GMRINFRA,EQ,16.05,16.3,16.7,16.05,16.6,16.5,16.3,22701775,370001554.95,11721,5692162,25.07,2.8037383177569986,Positive,15.132661204919799,17.63571428571427,20.138767366508738
2017-08-17,GMRINFRA,EQ,16.5,16.85,19.15,16.4,18.65,18.55,18.26,151869401,2773235771.8,81173,19484381,12.83,12.424242424242426,Bear drop,15.203517804122269,17.582142857142838,19.96076791016341
2017-08-18,GMRINFRA,EQ,18.55,18.35,18.8,17.95,18.15,18.25,18.34,50471064,925749658.05,26351,7449876,14.76,-1.6172506738544534,Negative,15.244114719597068,17.535714285714267,19.827313851831466
2017-08-21,GMRINFRA,EQ,18.25,18.25,18.45,17.35,17.5,17.5,17.89,25971372,464756724.85,15848,4398742,16.94,-4.109589041095896,Among top losers,15.269643590797155,17.442857142857125,19.616070694917095
2017-08-22,GMRINFRA,EQ,17.5,17.75,17.9,16.9,17.0,17.0,17.27,33758942,582971597.75,26383,3443739,10.2,-2.857142857142858,Negative,15.263904186784096,17.321428571428555,19.378952956073014
2017-08-23,GMRINFRA,EQ,17.0,17.3,17.4,17.0,17.1,17.2,17.21,19674455,338649384.2,10466,4171604,21.2,1.1764705882352902,Positive,15.286045600324442,17.22857142857141,19.171097256818378
2017-08-24,GMRINFRA,EQ,17.2,17.3,17.65,17.1,17.2,17.25,17.26,18655881,322001818.6,8701,5700778,30.56,0.2906976744186052,Slight or No change,15.278055293360799,17.18214285714284,19.08623042092488
2017-08-28,GMRINFRA,EQ,17.25,17.25,17.9,17.2,17.35,17.45,17.63,32962980,581147742.0,12805,12010289,36.44,1.1594202898550732,Positive,15.275928073257639,17.167857142857127,19.059786212456615
2017-08-29,GMRINFRA,EQ,17.45,17.3,17.4,16.75,16.8,16.85,17.06,19985526,340968861.3,13921,6075070,30.4,-3.4383954154727725,Among top losers,15.326203055928968,17.046428571428553,18.76665408692814
2017-08-30,GMRINFRA,EQ,16.85,17.0,17.4,16.8,17.2,17.2,17.17,23081553,396233136.4,10676,4202019,18.21,2.0771513353115667,Positive,15.328600884511637,17.01071428571427,18.6928276869169
2017-08-31,GMRINFRA,EQ,17.2,17.25,17.45,17.05,17.15,17.2,17.2,23992936,412613498.35,6131,8987762,37.46,0.0,Slight or No change,15.343928446209283,17.02857142857141,18.71321441093354
2017-09-01,GMRINFRA,EQ,17.2,17.25,17.8,17.15,17.75,17.7,17.52,39925740,699315602.75,12575,11168756,27.97,2.906976744186052,Positive,15.571700845076059,17.157142857142837,18.742584869209615
2017-09-04,GMRINFRA,EQ,17.7,17.7,17.7,16.8,17.2,17.2,17.18,33442149,574454257.25,12642,7093561,21.21,-2.824858757062143,Negative,16.011403607912186,17.27857142857141,18.545739249230635
2017-09-05,GMRINFRA,EQ,17.2,17.5,17.75,17.05,17.05,17.1,17.33,37224291,645273004.95,12567,5642778,15.16,-0.5813953488371992,Slight negative,16.292030976271974,17.35357142857141,18.415111880870846
2017-09-06,GMRINFRA,EQ,17.1,17.0,17.3,16.85,17.15,17.2,17.19,18512579,318186748.95,6934,4464562,24.12,0.5847953216374213,Slight positive,16.45532260881165,17.40357142857141,18.351820248331173
2017-09-07,GMRINFRA,EQ,17.2,17.7,17.85,17.4,17.45,17.5,17.59,32065858,563883993.7,15937,6500188,20.27,1.7441860465116308,Positive,16.640525940680853,17.32857142857141,18.01661691646197
2017-09-08,GMRINFRA,EQ,17.5,17.5,17.65,17.05,17.2,17.25,17.33,17216598,298363109.2,12258,2983863,17.33,-1.4285714285714235,Negative,16.81886450713239,17.25714285714284,17.695421207153288
2017-09-11,GMRINFRA,EQ,17.25,17.4,17.65,17.15,17.3,17.3,17.44,14057115,245202378.75,6844,2634580,18.74,0.28985507246377384,Slight or No change,16.82617216157469,17.242857142857126,17.659542124139563
2017-09-12,GMRINFRA,EQ,17.3,17.45,17.6,17.25,17.35,17.35,17.43,19108231,333077726.3,9278,3858966,20.2,0.28901734104047616,Slight or No change,16.872485569120915,17.267857142857128,17.66322871659334
2017-09-13,GMRINFRA,EQ,17.35,17.5,18.55,17.35,17.85,17.9,17.98,58122179,1045103788.7,22538,10009876,17.22,3.170028818443793,Among top gainers,16.80105165518514,17.317857142857125,17.83466263052911
2017-09-14,GMRINFRA,EQ,17.9,17.95,18.45,17.9,18.05,18.0,18.12,36372371,658963659.45,14845,5598513,15.39,0.5586592178770999,Slight positive,16.74175920066047,17.371428571428556,18.00109794219664
2017-09-15,GMRINFRA,EQ,18.0,17.9,18.25,17.7,17.9,17.9,17.94,22152964,397530631.05,10594,4174326,18.84,-0.5555555555555647,Slight negative,16.713572224877044,17.40357142857141,18.093570632265777
2017-09-18,GMRINFRA,EQ,17.9,18.05,18.5,18.0,18.15,18.15,18.26,32069481,585598204.95,13989,6442997,20.09,1.3966480446927276,Positive,16.77802833402683,17.496428571428552,18.214828808830276
2017-09-19,GMRINFRA,EQ,18.15,18.2,18.3,17.95,18.05,18.05,18.09,17824803,322421904.85,7373,3787516,21.25,-0.550964187327807,Slight negative,16.803835132854502,17.55714285714284,18.310450581431176
2017-09-20,GMRINFRA,EQ,18.05,18.1,18.15,17.8,17.9,17.85,17.96,12686099,227856415.5,5628,2890108,22.78,-1.1080332409972304,Negative,16.865107028393844,17.60357142857141,18.342035828748976
2017-09-21,GMRINFRA,EQ,17.85,17.95,18.0,17.05,17.6,17.5,17.53,23417290,410532426.85,9430,4101002,17.51,-1.9607843137254943,Negative,16.85111899199997,17.589285714285698,18.327452436571424
2017-09-22,GMRINFRA,EQ,17.5,17.55,17.55,16.65,16.75,16.75,17.01,30559550,519741673.75,12623,7932998,25.96,-4.285714285714281,Among top losers,16.71420190396202,17.557142857142843,18.400083810323665
2017-09-25,GMRINFRA,EQ,16.75,16.85,16.9,16.05,16.45,16.45,16.4,24581843,403127521.75,10916,4325119,17.59,-1.7910447761194104,Negative,16.50367859661441,17.51071428571427,18.517749974814127
2017-09-26,GMRINFRA,EQ,16.45,16.6,16.75,16.25,16.6,16.55,16.48,18129513,298775387.1,7186,3242539,17.89,0.6079027355623268,Slight positive,16.342180158145442,17.464285714285698,18.586391270425953
2017-09-27,GMRINFRA,EQ,16.55,16.7,16.9,15.8,15.9,15.95,16.47,30030564,494721639.75,12756,3466103,11.54,-3.625377643504535,Among top losers,15.97100731921392,17.35357142857141,18.736135537928902
2017-09-28,GMRINFRA,EQ,15.95,15.95,16.1,15.4,15.9,15.95,15.84,40951868,648513671.4,13220,5753859,14.05,0.0,Slight or No change,15.686802661067649,17.26071428571427,18.834625910360888
2017-09-29,GMRINFRA,EQ,15.95,16.1,16.6,16.0,16.6,16.4,16.29,27492006,447872770.7,10467,7516279,27.34,2.8213166144200663,Positive,15.557261669655551,17.19642857142855,18.83559547320155
2017-10-03,GMRINFRA,EQ,16.4,16.7,16.95,16.3,16.35,16.45,16.53,15473913,255832257.05,7231,2340723,15.13,0.3048780487804992,Slight or No change,15.448919236157872,17.132142857142835,18.815366478127796
2017-10-04,GMRINFRA,EQ,16.45,16.5,16.6,16.25,16.25,16.35,16.4,16301902,267319406.75,6793,4135108,25.37,-0.6079027355622935,Slight negative,15.351921833720455,17.02142857142855,18.690935309136645
2017-10-05,GMRINFRA,EQ,16.35,16.35,16.45,16.1,16.3,16.2,16.27,7742672,125960890.15,5056,1515797,19.58,-0.9174311926605672,Slight negative,15.271434622657349,16.89285714285712,18.514279663056893
2017-10-06,GMRINFRA,EQ,16.2,16.35,16.6,16.15,16.5,16.5,16.4,19535998,320298462.55,5718,8529654,43.66,1.85185185185186,Positive,15.269269704828478,16.79285714285712,18.31644458088576
2017-10-09,GMRINFRA,EQ,16.5,16.5,16.65,16.2,16.25,16.25,16.36,13696001,224014092.85,5816,2740986,20.01,-1.5151515151515138,Negative,15.328258337730377,16.657142857142833,17.986027376555292
2017-10-10,GMRINFRA,EQ,16.25,16.25,16.6,16.2,16.5,16.4,16.35,14979023,244929673.4,7769,3252333,21.71,0.9230769230769154,Slight positive,15.476503754283774,16.53928571428569,17.602067674287603
2017-10-11,GMRINFRA,EQ,16.4,16.55,16.65,15.4,15.65,15.75,16.04,21466163,344223380.9,8882,5676477,26.44,-3.963414634146334,Among top losers,15.555223761754965,16.38928571428569,17.223347666816416
2017-10-12,GMRINFRA,EQ,15.75,15.8,16.3,15.6,16.2,16.2,15.99,14446383,231069069.55,7530,2975898,20.6,2.8571428571428465,Positive,15.757963108334497,16.296428571428546,16.834894034522595
2017-10-13,GMRINFRA,EQ,16.2,16.2,16.45,16.0,16.1,16.1,16.19,15832267,256374851.5,6762,4314092,27.25,-0.6172839506172756,Slight negative,15.771219497858537,16.249999999999975,16.72878050214141
2017-10-16,GMRINFRA,EQ,16.1,16.2,16.25,15.85,16.0,16.05,16.01,12572217,201257061.2,5686,2183222,17.37,-0.31055900621118626,Slight or No change,15.74633459576234,16.22142857142855,16.696522547094762
2017-10-17,GMRINFRA,EQ,16.05,16.05,16.2,15.9,16.15,16.05,16.02,8704296,139473011.45,3213,2598903,29.86,0.0,Slight or No change,15.742945772782278,16.185714285714262,16.628482798646246
2017-10-18,GMRINFRA,EQ,16.05,16.15,16.15,15.9,16.1,16.05,16.03,9789108,156947609.4,3616,2066027,21.11,0.0,Slight or No change,15.763444049908562,16.19285714285712,16.62227023580568
2017-10-19,GMRINFRA,EQ,16.05,16.15,16.15,15.65,16.0,15.95,15.98,2923247,46701875.8,2546,1336671,45.73,-0.6230529595015688,Slight negative,15.763444049908562,16.19285714285712,16.62227023580568
2017-10-23,GMRINFRA,EQ,15.95,16.05,17.4,15.9,17.25,17.25,16.74,33624059,562764362.65,19052,7501802,22.31,8.150470219435736,Bear drop,15.547047668053857,16.25357142857141,16.96009518908896
2017-10-24,GMRINFRA,EQ,17.25,17.4,17.55,17.1,17.35,17.4,17.33,32294974,559689672.0,16054,5239897,16.23,0.8695652173912993,Slight positive,15.387689779330804,16.32142857142855,17.2551673635263
2017-10-25,GMRINFRA,EQ,17.4,17.85,18.95,17.4,18.6,18.45,18.36,64835284,1190621897.15,31265,14186606,21.88,6.034482758620684,Among top gainers,14.99874693278725,16.47142857142855,17.944110210069848
2017-10-26,GMRINFRA,EQ,18.45,18.5,18.9,18.05,18.4,18.45,18.55,38437129,713151854.85,14537,8617024,22.42,0.0,Slight or No change,14.832310752640971,16.632142857142835,18.4319749616447
2017-10-27,GMRINFRA,EQ,18.45,18.5,18.75,17.75,18.05,18.05,18.39,26772775,492249539.55,9727,3527945,13.18,-2.168021680216792,Negative,14.793554647147385,16.742857142857122,18.69215963856686
2017-10-30,GMRINFRA,EQ,18.05,18.2,18.25,18.0,18.25,18.2,18.19,17333948,315360385.8,9917,7188968,41.47,0.8310249307479145,Slight positive,14.809757704768836,16.882142857142835,18.95452800951683
2017-10-31,GMRINFRA,EQ,18.2,18.3,19.7,18.3,19.25,19.2,19.24,86369612,1661670094.1,36922,16856160,19.52,5.494505494505497,Among top gainers,14.693835718391423,17.082142857142834,19.470449995894246
2017-11-01,GMRINFRA,EQ,19.2,19.5,19.85,18.95,19.1,19.05,19.38,34590450,670411216.25,16525,6788533,19.63,-0.7812499999999889,Slight negative,14.845982381635434,17.31785714285712,19.78973190407881
2017-11-02,GMRINFRA,EQ,19.05,19.2,19.2,18.55,18.9,18.85,18.83,20406991,384263675.35,9852,3563786,17.46,-1.0498687664041941,Negative,14.998432755591384,17.50714285714284,20.015852958694293
2017-11-03,GMRINFRA,EQ,18.85,19.0,19.65,18.75,19.05,19.0,19.22,46696034,897657362.1,17439,12504409,26.78,0.7957559681697646,Slight positive,15.227264458792563,17.714285714285698,20.201306969778834
2017-11-06,GMRINFRA,EQ,19.0,18.8,19.05,18.3,18.35,18.4,18.68,18334926,342554665.95,8148,5030445,27.44,-3.1578947368421155,Among top losers,15.567770656886665,17.88214285714284,20.19651505739901
2017-11-07,GMRINFRA,EQ,18.4,18.4,18.5,17.4,17.6,17.5,17.85,30565753,545530048.5,14384,5770067,18.88,-4.891304347826075,Among top losers,15.906724674822062,17.985714285714266,20.06470389660647
2017-11-08,GMRINFRA,EQ,17.5,17.6,18.1,17.3,17.55,17.4,17.73,25210782,446958248.5,12041,3455666,13.71,-0.5714285714285783,Slight negative,16.28359338054228,18.082142857142834,19.88069233374339
2017-11-09,GMRINFRA,EQ,17.4,17.55,17.95,17.3,17.8,17.8,17.68,26784510,473559202.4,11678,2347354,8.76,2.298850574712663,Positive,16.87814398330255,18.214285714285694,19.550427445268838
2017-11-10,GMRINFRA,EQ,17.8,17.8,18.0,17.5,17.7,17.7,17.73,18418613,326648054.45,8032,1785243,9.69,-0.5617977528090012,Slight negative,16.991000795290546,18.24642857142855,19.50185634756655
2017-11-13,GMRINFRA,EQ,17.7,17.7,18.15,17.4,17.75,17.75,17.75,15569818,276390554.8,8414,2721382,17.48,0.28248587570622874,Slight or No change,17.076108024967844,18.27142857142855,19.466749117889258
2017-11-14,GMRINFRA,EQ,17.75,17.8,18.25,17.6,17.8,17.85,17.96,19031914,341769745.55,10657,2507192,13.17,0.5633802816901401,Slight positive,17.017904552129256,18.228571428571406,19.439238305013557
2017-11-15,GMRINFRA,EQ,17.85,17.5,17.65,15.65,16.3,16.35,16.79,49081277,824312534.25,26780,12586949,25.65,-8.403361344537819,Bull run,16.51666219959543,18.07857142857141,19.640480657547393
2017-11-16,GMRINFRA,EQ,16.35,16.35,17.05,16.15,16.95,16.95,16.7,22864188,381877999.5,15697,5858335,25.62,3.6697247706421803,Among top gainers,16.32530140484463,17.99999999999998,19.674698595155327
2017-11-17,GMRINFRA,EQ,16.95,17.15,17.5,16.9,17.0,17.0,17.1,14866215,254213413.7,6931,2658326,17.88,0.2949852507374784,Slight or No change,16.162614612636883,17.914285714285693,19.665956815934504
2017-11-20,GMRINFRA,EQ,17.0,16.9,17.35,16.8,17.2,17.2,17.13,14821175,253841757.8,7581,2654648,17.91,1.1764705882352902,Positive,16.150073826534296,17.77142857142855,19.392783316322806
