Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
GMRINFRA,EQ,2017-10-04,16.45,16.5,16.6,16.25,16.25,16.35,16.4,16301902,267319406.75,6793,4135108,25.37,-0.6079027355622935,Slight negative
GMRINFRA,EQ,2017-10-05,16.35,16.35,16.45,16.1,16.3,16.2,16.27,7742672,125960890.15,5056,1515797,19.58,-0.9174311926605672,Slight negative
GMRINFRA,EQ,2017-10-06,16.2,16.35,16.6,16.15,16.5,16.5,16.4,19535998,320298462.55,5718,8529654,43.66,1.85185185185186,Positive
GMRINFRA,EQ,2017-10-09,16.5,16.5,16.65,16.2,16.25,16.25,16.36,13696001,224014092.85,5816,2740986,20.01,-1.5151515151515138,Negative
GMRINFRA,EQ,2017-10-10,16.25,16.25,16.6,16.2,16.5,16.4,16.35,14979023,244929673.4,7769,3252333,21.71,0.9230769230769154,Slight positive
GMRINFRA,EQ,2017-10-11,16.4,16.55,16.65,15.4,15.65,15.75,16.04,21466163,344223380.9,8882,5676477,26.44,-3.963414634146334,Among top losers
GMRINFRA,EQ,2017-10-12,15.75,15.8,16.3,15.6,16.2,16.2,15.99,14446383,231069069.55,7530,2975898,20.6,2.857142857142847,Positive
GMRINFRA,EQ,2017-10-13,16.2,16.2,16.45,16.0,16.1,16.1,16.19,15832267,256374851.5,6762,4314092,27.25,-0.6172839506172756,Slight negative
GMRINFRA,EQ,2017-10-16,16.1,16.2,16.25,15.85,16.0,16.05,16.01,12572217,201257061.2,5686,2183222,17.37,-0.31055900621118626,Slight or No change
GMRINFRA,EQ,2017-10-17,16.05,16.05,16.2,15.9,16.15,16.05,16.02,8704296,139473011.45,3213,2598903,29.86,0.0,Slight or No change
GMRINFRA,EQ,2017-10-18,16.05,16.15,16.15,15.9,16.1,16.05,16.03,9789108,156947609.4,3616,2066027,21.11,0.0,Slight or No change
GMRINFRA,EQ,2017-10-19,16.05,16.15,16.15,15.65,16.0,15.95,15.98,2923247,46701875.8,2546,1336671,45.73,-0.6230529595015688,Slight negative
GMRINFRA,EQ,2017-10-23,15.95,16.05,17.4,15.9,17.25,17.25,16.74,33624059,562764362.65,19052,7501802,22.31,8.150470219435736,Bear drop
GMRINFRA,EQ,2017-10-24,17.25,17.4,17.55,17.1,17.35,17.4,17.33,32294974,559689672.0,16054,5239897,16.23,0.8695652173912993,Slight positive
GMRINFRA,EQ,2017-10-25,17.4,17.85,18.95,17.4,18.6,18.45,18.36,64835284,1190621897.15,31265,14186606,21.88,6.034482758620685,Among top gainers
GMRINFRA,EQ,2017-10-26,18.45,18.5,18.9,18.05,18.4,18.45,18.55,38437129,713151854.85,14537,8617024,22.42,0.0,Slight or No change
GMRINFRA,EQ,2017-10-27,18.45,18.5,18.75,17.75,18.05,18.05,18.39,26772775,492249539.55,9727,3527945,13.18,-2.1680216802167918,Negative
GMRINFRA,EQ,2017-10-30,18.05,18.2,18.25,18.0,18.25,18.2,18.19,17333948,315360385.8,9917,7188968,41.47,0.8310249307479145,Slight positive
GMRINFRA,EQ,2017-10-31,18.2,18.3,19.7,18.3,19.25,19.2,19.24,86369612,1661670094.1,36922,16856160,19.52,5.494505494505497,Among top gainers
GMRINFRA,EQ,2017-11-01,19.2,19.5,19.85,18.95,19.1,19.05,19.38,34590450,670411216.25,16525,6788533,19.63,-0.7812499999999889,Slight negative
GMRINFRA,EQ,2017-11-02,19.05,19.2,19.2,18.55,18.9,18.85,18.83,20406991,384263675.35,9852,3563786,17.46,-1.049868766404194,Negative
GMRINFRA,EQ,2017-11-03,18.85,19.0,19.65,18.75,19.05,19.0,19.22,46696034,897657362.1,17439,12504409,26.78,0.7957559681697646,Slight positive
GMRINFRA,EQ,2017-11-06,19.0,18.8,19.05,18.3,18.35,18.4,18.68,18334926,342554665.95,8148,5030445,27.44,-3.157894736842115,Among top losers
GMRINFRA,EQ,2017-11-07,18.4,18.4,18.5,17.4,17.6,17.5,17.85,30565753,545530048.5,14384,5770067,18.88,-4.891304347826075,Among top losers
GMRINFRA,EQ,2017-11-08,17.5,17.6,18.1,17.3,17.55,17.4,17.73,25210782,446958248.5,12041,3455666,13.71,-0.5714285714285783,Slight negative
GMRINFRA,EQ,2017-11-09,17.4,17.55,17.95,17.3,17.8,17.8,17.68,26784510,473559202.4,11678,2347354,8.76,2.298850574712663,Positive
GMRINFRA,EQ,2017-11-10,17.8,17.8,18.0,17.5,17.7,17.7,17.73,18418613,326648054.45,8032,1785243,9.69,-0.5617977528090012,Slight negative
GMRINFRA,EQ,2017-11-13,17.7,17.7,18.15,17.4,17.75,17.75,17.75,15569818,276390554.8,8414,2721382,17.48,0.28248587570622874,Slight or No change
GMRINFRA,EQ,2017-11-14,17.75,17.8,18.25,17.6,17.8,17.85,17.96,19031914,341769745.55,10657,2507192,13.17,0.5633802816901401,Slight positive
GMRINFRA,EQ,2017-11-15,17.85,17.5,17.65,15.65,16.3,16.35,16.79,49081277,824312534.25,26780,12586949,25.65,-8.403361344537819,Bull run
GMRINFRA,EQ,2017-11-16,16.35,16.35,17.05,16.15,16.95,16.95,16.7,22864188,381877999.5,15697,5858335,25.62,3.66972477064218,Among top gainers
GMRINFRA,EQ,2017-11-17,16.95,17.15,17.5,16.9,17.0,17.0,17.1,14866215,254213413.7,6931,2658326,17.88,0.2949852507374784,Slight or No change
GMRINFRA,EQ,2017-11-20,17.0,16.9,17.35,16.8,17.2,17.2,17.13,14821175,253841757.8,7581,2654648,17.91,1.17647058823529,Positive
GMRINFRA,EQ,2017-11-21,17.2,17.3,17.45,17.05,17.25,17.25,17.26,12470943,215265940.2,5473,2500055,20.05,0.29069767441860517,Slight or No change
GMRINFRA,EQ,2017-11-22,17.25,17.2,17.3,16.85,16.95,17.0,17.02,10441128,177695218.25,5564,2018266,19.33,-1.449275362318836,Negative
GMRINFRA,EQ,2017-11-23,17.0,16.95,17.2,16.8,16.95,16.95,16.99,12313106,209195503.55,5367,1895800,15.4,-0.2941176470588225,Slight or No change
GMRINFRA,EQ,2017-11-24,16.95,16.95,19.1,16.9,18.65,18.65,18.28,50610462,925058106.35,18751,9757095,19.28,10.029498525073732,Bear drop
GMRINFRA,EQ,2017-11-27,18.65,18.55,19.6,18.25,18.85,18.9,19.12,70054560,1339261955.2,29456,20277440,28.95,1.3404825737265424,Positive
